Dataset,Method,Seed,Best Epoch,Test Overall Accuracy,Test Worst Group Accuracy,Test Avg Accuracy
celeba,erm,seed_3,2,90.69732666015625,6.666666507720947,64.77117598056793
celeba,erm,seed_2,36,89.13435363769531,20.0,68.08663558959961
celeba,erm,seed_1,0,91.66917419433594,13.333333015441895,66.11450123786926
celeba,erm,seed_4,7,90.80753326416016,0.0,62.720603942871094
celeba,erm,seed_0,1,92.70613861083984,6.666666507720947,66.24546110630035
celeba,jtt,seed_3,26,58.92195129394531,37.39130401611328,65.78718662261963
celeba,jtt,seed_2,13,70.78949737548828,23.21360969543457,53.2615442276001
celeba,jtt,seed_1,30,63.129947662353516,39.357276916503906,71.45100212097168
celeba,jtt,seed_0,14,68.02424621582031,26.20037841796875,55.890193939208984
celeba,softcon,seed_3,9,91.41869354248047,13.333333015441895,67.99730229377747
celeba,softcon,seed_2,2,91.35356903076172,13.333333015441895,68.1677315235138
celeba,softcon,seed_1,12,89.91584014892578,20.0,68.92251586914062
celeba,softcon,seed_4,6,89.71546173095703,20.0,67.53861045837402
celeba,softcon,seed_0,0,79.8116455078125,33.33333206176758,63.068721771240234
celeba,debian,seed_3,3,91.56897735595703,26.66666603088379,70.78773736953735
celeba,debian,seed_2,7,92.3755111694336,6.666666507720947,64.95598089694977
celeba,debian,seed_1,6,89.13435363769531,6.666666507720947,64.27644789218903
celeba,debian,seed_4,1,92.88648223876953,13.333333015441895,67.98149418830872
celeba,debian,seed_0,12,92.16010284423828,6.666666507720947,66.99514448642731
celeba,lff,seed_3,4,90.74742126464844,40.0,74.10500717163086
celeba,lff,seed_2,3,92.65103912353516,6.666666507720947,65.32819426059723
celeba,lff,seed_1,4,89.99098205566406,0.0,62.19476318359375
celeba,lff,seed_4,9,91.0079116821289,13.333333015441895,66.52119183540344
celeba,lff,seed_0,9,90.56206512451172,13.333333015441895,67.41143918037415
celeba,sd,seed_3,7,90.2614974975586,0.0,64.33810234069824
celeba,sd,seed_2,2,90.20138549804688,20.0,68.8714656829834
celeba,sd,seed_1,13,89.88077545166016,20.0,68.85667991638184
celeba,sd,seed_4,10,89.88077545166016,13.333333015441895,67.12613224983215
celeba,sd,seed_0,1,91.54393005371094,13.333333015441895,67.99831128120422
celeba,flacb,seed_3,4,91.08306121826172,20.0,68.19935607910156
celeba,flacb,seed_2,6,91.41368865966797,6.666666507720947,64.64380133152008
celeba,flacb,seed_1,1,91.73930358886719,13.333333015441895,65.92801403999329
celeba,flacb,seed_4,4,91.08306121826172,20.0,68.19935607910156
celeba,flacb,seed_0,5,90.73239135742188,0.0,62.64483833312988
celeba,mavias,seed_3,25,88.95902252197266,66.66666412353516,82.88425636291504
celeba,mavias,seed_2,10,89.99098205566406,73.33333587646484,83.47798728942871
celeba,mavias,seed_1,4,88.25267791748047,60.0,79.11612129211426
celeba,mavias,seed_4,1,88.60334777832031,66.66666412353516,80.61371612548828
celeba,mavias,seed_0,0,89.79560852050781,66.66666412353516,81.04566383361816
waterbirds,erm,seed_3,99,97.25497436523438,37.5,74.00930595397949
waterbirds,erm,seed_2,84,97.18458557128906,25.0,71.12399291992188
waterbirds,erm,seed_1,77,97.34294891357422,25.0,72.47164154052734
waterbirds,erm,seed_4,67,97.34294891357422,25.0,71.71365165710449
waterbirds,erm,seed_0,67,97.1493911743164,25.0,70.05024528503418
waterbirds,jtt,seed_3,39,79.53545379638672,0.0,50.0216262973845
waterbirds,jtt,seed_2,7,79.51786041259766,0.0,50.01603013649583
waterbirds,jtt,seed_1,1,79.51786041259766,0.0,50.0
waterbirds,jtt,seed_4,45,79.55305480957031,0.0,50.043252594769
waterbirds,jtt,seed_0,40,79.53545379638672,0.0,50.0216262973845
waterbirds,softcon,seed_3,41,79.28910827636719,0.0,49.92724418640137
waterbirds,softcon,seed_2,67,79.71141815185547,0.0,50.04665744304657
waterbirds,softcon,seed_1,15,79.53545379638672,0.0,50.0216262973845
waterbirds,softcon,seed_4,0,79.51786041259766,0.0,50.0
waterbirds,softcon,seed_0,11,79.5002670288086,0.0,50.01043397560716
waterbirds,debian,seed_3,68,97.32535552978516,37.5,74.32022857666016
waterbirds,debian,seed_2,90,97.46612548828125,37.5,75.33137512207031
waterbirds,debian,seed_1,80,97.21977996826172,37.5,74.14237976074219
waterbirds,debian,seed_4,87,97.25497436523438,37.5,75.10391807556152
waterbirds,debian,seed_0,96,97.37814331054688,37.5,74.68395042419434
waterbirds,lff,seed_3,47,97.20217895507812,25.0,71.01737976074219
waterbirds,lff,seed_2,87,97.34294891357422,25.0,72.4876708984375
waterbirds,lff,seed_1,89,97.37814331054688,25.0,71.64469528198242
waterbirds,lff,seed_4,81,97.44853210449219,37.5,73.9964370727539
waterbirds,lff,seed_0,74,97.13179779052734,37.5,74.25866508483887
waterbirds,sd,seed_3,48,97.62449645996094,37.5,75.5260124206543
waterbirds,sd,seed_2,81,97.71247863769531,25.0,73.33684539794922
waterbirds,sd,seed_1,78,97.58930206298828,25.0,73.28164100646973
waterbirds,sd,seed_4,62,97.60689544677734,25.0,72.79603576660156
waterbirds,sd,seed_0,98,97.65968322753906,62.5,82.55002975463867
waterbirds,flacb,seed_3,86,97.34294891357422,37.5,76.03415870666504
waterbirds,flacb,seed_2,98,97.27256774902344,50.0,79.22735214233398
waterbirds,flacb,seed_1,89,97.21977996826172,37.5,74.31870651245117
waterbirds,flacb,seed_4,75,97.09660339355469,37.5,74.49822807312012
waterbirds,flacb,seed_0,46,97.18458557128906,25.0,71.89801025390625
waterbirds,mavias,seed_3,89,96.9558334350586,75.0,86.87680435180664
waterbirds,mavias,seed_2,28,97.41333770751953,76.92308044433594,89.53831100463867
waterbirds,mavias,seed_1,41,97.21977996826172,75.0,86.8267993927002
waterbirds,mavias,seed_4,82,97.39574432373047,75.0,87.3899974822998
waterbirds,mavias,seed_0,78,97.18458557128906,75.0,86.96559143066406
urbancars,erm,seed_3,130,81.19999694824219,38.095237731933594,61.50777053833008
urbancars,erm,seed_2,133,80.69999694824219,33.33333206176758,60.10657215118408
urbancars,erm,seed_1,146,82.0999984741211,38.095237731933594,61.97337532043457
urbancars,erm,seed_4,103,81.0,33.33333206176758,61.52327346801758
urbancars,erm,seed_0,79,81.9000015258789,52.380950927734375,67.81386089324951
urbancars,jtt,seed_3,143,63.29999923706055,23.809524536132812,55.08458423614502
urbancars,jtt,seed_5,50,64.0999984741211,52.380950927734375,62.330955505371094
urbancars,jtt,seed_2,119,65.5,36.842105865478516,63.46910095214844
urbancars,jtt,seed_1,142,63.900001525878906,52.6315803527832,59.58079242706299
urbancars,jtt,seed_0,106,60.5,9.523809432983398,55.246034145355225
urbancars,softcon,seed_3,37,55.29999923706055,19.047618865966797,43.45381546020508
urbancars,softcon,seed_2,66,54.599998474121094,9.523809432983398,49.638203144073486
urbancars,softcon,seed_1,38,55.0,14.285714149475098,43.41105103492737
urbancars,softcon,seed_4,34,54.0,9.523809432983398,45.52970266342163
urbancars,softcon,seed_0,31,52.70000076293945,15.789473533630371,35.78122115135193
urbancars,debian,seed_3,78,81.4000015258789,31.578947067260742,60.22541284561157
urbancars,debian,seed_2,83,82.19999694824219,21.052631378173828,59.25338840484619
urbancars,debian,seed_1,106,81.0999984741211,38.095237731933594,61.4536247253418
urbancars,debian,seed_4,126,82.5999984741211,42.105262756347656,64.51568031311035
urbancars,debian,seed_0,66,80.69999694824219,33.33333206176758,60.10961055755615
urbancars,lff,seed_3,121,81.5,31.578947067260742,60.276304721832275
urbancars,lff,seed_1,149,82.0999984741211,36.842105865478516,62.99264049530029
urbancars,lff,seed_4,111,81.4000015258789,36.842105865478516,60.34703731536865
urbancars,lff,seed_0,107,80.9000015258789,33.33333206176758,60.21247577667236
urbancars,sd,seed_3,110,84.30000305175781,42.85714340209961,68.04937648773193
urbancars,sd,seed_2,86,83.69999694824219,38.095237731933594,66.59967422485352
urbancars,sd,seed_1,115,83.5999984741211,42.105262756347656,65.03456115722656
urbancars,sd,seed_4,145,84.69999694824219,36.842105865478516,66.62338066101074
urbancars,sd,seed_0,119,84.0,42.105262756347656,66.38117980957031
urbancars,flacb,seed_3,47,79.19999694824219,23.809524536132812,58.30681324005127
urbancars,flacb,seed_2,115,78.69999694824219,23.809524536132812,54.25918531417847
urbancars,flacb,seed_1,108,79.0,31.578947067260742,57.835389614105225
urbancars,flacb,seed_4,110,80.69999694824219,31.578947067260742,57.58588647842407
urbancars,flacb,seed_0,31,80.4000015258789,31.578947067260742,58.561519145965576
urbancars,mavias,seed_3,86,90.30000305175781,80.95237731933594,87.86658668518066
urbancars,mavias,seed_2,78,90.5,84.21052551269531,88.98654556274414
urbancars,mavias,seed_1,124,90.5999984741211,84.21052551269531,89.03613471984863
urbancars,mavias,seed_4,84,90.4000015258789,86.90229034423828,91.3377571105957
urbancars,mavias,seed_0,54,90.5999984741211,85.71428680419922,89.16101264953613
